id,editor,starring,title,writer
6538,,Flaco Jiménez Lydia Mendoza Los Alegres De Teran,,
6539,,,,Pak Ling Li
6540,,Michel Piccoli Anita Pallenberg Annie Girardot,Dillinger Is Dead,"Marco Ferreri
Sergio Bazzini"
6541,,Laura Antonaz Tony Musante Florinda Bolkan,,Francesco Barilli Lucio Fulci Alberto Silvestri Concha Hombria Roberto Leoni
6542,,Arthur Stanley Jefferson Oliver Hardy,Early to Bed,H.M. Walker
6543,,Teryl Rothery Tegan Moss Angela Michelle Harmon Dale Alan Midkiff James Patrick Sheridan,,Kathleen Rowell
6544,,Wong Jing Charmaine Sheh Shi Man Yuen Qiu Hacken Lee,,
6545,,Phil Vischer Mike Nawrocki,,Phil Vischer
6546,,Vera Ann Farmiga Paul William Walker IV Calogero Lorenzo Palminteri Cameron Douglas Crigger Alex Neuberger,Running Scared,Wayne Kramer
6547,,Kamal Haasan,,
6548,,"Krishna Bhanji Joseph Anthony Mantegna, Jr. Robert Stephens Laurence John Fishburne III Joan Allen Maxwell Pomeranc Michael Nirenberg",,Fred Waitzkin Steven Zaillian
6549,,Rajnikanth,,
6550,,Elodie Navarre,Le Bourreau des innocents,Farid Dms Debah
6551,,Johnny Walker Dharam Pishorimal Anand Krishan Narayan Geeta Bali,,Lalchand Bismil Vasanth Kumar Shivsankar Padukone
6552,,Robert Adame Beltran Kelli Joan Maroney Catherine Mary Nursall,Night of the Comet,Thomas Everett Eberhardt
6553,,Steven E. de Souza James L. Brooks Scott Alexander Gary Ross Carrie Frances Fisher Nora Ephron Larry Karaszewski,,
6554,,"Beverly Ross
Jacques Martial
Oona Chaplin",,Michie Gleason
6555,,Thomas Mark Harmon Gregory T. Daniel Martin Garner Deborah Kara Unger,Till There Was You,Michael Thomas
6556,,Alan Alda Jerry Orbach Anjelica Huston Martin Landau Allen Stewart Ku00F6nigsberg Maria de Lourdes Villiers-Farrow,Crimes and Misdemeanors,Allen Stewart Ku00F6nigsberg
6557,,"Sofia Villani Scicolone George Peppard, Jr. Trevor Howard Lewis Ernest Watts Mills",,Imre Ju00F3zsef Emmerich Pressburger
6558,,Catherine Anne O'Hara Kelly Sheridan,Barbie in the 12 Dancing Princesses,
6559,,Stephen Charles Barry Brian Salzberg Donna Dempsey,,E. Elias Merhige
6560,,Raima Dev Varma Kay Kay Menon Karan Khanna Abhay Singh Deol Amisha Patel Ranvir Shorey Vikram Chatwal Shabana Azmi Boman Irani Minissha Lamba Sandhya Mridul Dia Mirza,Honeymoon Travels Pvt. Ltd.,Reema Kagti
6561,,Bruno Cremer Francisco Rabal Roy Richard Scheider,,"Georges Arnaud (novel Le Salaire de la Peur)
Walon Green"
6562,,Dudley Sutton Kevin Collins (British actor) Andrew Tiernan Katherine Mathilda Swinton Steven Waddington,Edward II,
6563,,Beulah Bondy Sophia Kosow Estelle Taylor David Landau William Collier,,Elmer Rice
6564,,Yashar Nuri Hasanagha Turabov Rasim Ahmad oglu Balayev Mamuka Andreyevich Kikaleishvili,,Ramiz Fataliyev Vagif Mustafayev
6565,,Stephen Moore (actor) Penelope Wilton John Marwood Cleese,Clockwise,Michael Frayn
6566,,Issur Danielovitch William Scott Elam Sally Margaret Field Lola Albright Richard Widmark Robert Mitchum Stubby Kaye,The Way West,Ben Maddow A.B. Guthrie Jr. Mitch Lindemann
6567,,Christien Anholt Graham Phillips Harvey Lee Yeary Haley Ramm Beth Littleford,,Mitch Watson
6568,,Carlo Pedersoli Mario Girotti,Trinity Is STILL My Name!,Enzo Barboni
6569,,"Barbara Marks
Robert A. Sherry",,"B. Lawrence Price, Jr."
6570,,Rasmus Bay Barlby Rita Angela Carsten Morch Lars Kylmann Jacobsen Lilla Nielsen,,Alexander Korschen
6571,,Venus Terzo Britt McKillip Janyse Aldis Jaud Kathleen Barr Ellen Kennedy Andrea Libman Brian Drummond Tabita St. Germain Adrienne Carter Kelly Sheridan Chantal Strand,,
6572,,Colin Lewes Dillingham Ana Claudia Talancón Jordana Spiro,,Eric Nicholas
6573,,"Scott Hoye, Steve Toth",,H. P. Lovecraft
6574,,Allen Payne Victoria Dillard,,Carol Mayes Carmen Green
6575,,Meg Foster Cassie Yates Rutger Oelsen Hauer Dennis Lee Hopper Christopher Sarandon Helen Shaver Burton Stephen Lancaster Craig Richard Nelson John Vincent Hurt,The Osterman Weekend,Robert Ludlum Alan Sharp Ian Masters (filmmaker)
6576,,Roseann O'Donnell Brian Blessed Anthony Howard Goldwyn Amelia Fiona J. Driver Wayne Knight,Tarzan,Tab Murphy
6577,,William Redfield Stuart Margolin Vincenzo Scognamiglio Steven Keats Charles Dennis Buchinsky Stephen Elliott Hope Elise Ross Lange,Death Wish,Brian Garfield Wendell Mayes
6578,,Robert Williams Harlean Harlow Carpenter Gretchen Young,,Jo Swerling
6579,,"Morris Chestnut Michael Patrick Boatman Courtney B. Vance Mario Van Peebles Raymond Sharkey, Jr. Peter Lawrence Boyle",,Mark Kriegel T.S. Cook
6580,,Brendan Eugene Sexton III Rosario Dawson Nathan Crooker Brett DelBuono Immortal Technique Amy Redford,,Stephen Marshall
6581,,Duncan Renaldo LeRoy Mason Reginald Denny Frank Buck (animal collector) Richard Tucker (actor),Serial (film) Columbia Pictures,George Melford Sherman Lowe Dallas M. Fitzgerald George Rosener Gordon Griffith Arthur Hoerl Harry Hoyt George M. Merrick
6582,,Bruce Altman Billy Kay (actor) Brian Cox James Costa Paul Franklin Dano,L.I.E.,Michael Cuesta
6583,,Daniel Leroy Baldwin Michael Rooker Xander Berkeley,LA Takedown,Michael Mann
6584,,Anatoli Papanov Andrei Mironov Yuri Nikulin Nina Grebeshkova Nonna Mordyukova,Brilliantovaya ruka,Moris Slobodskoy Yakov Kostyukovsky Leonid Gaidai
6585,,Lau Ching-Wan Leung Bik-Zi (u6881u78A7u829D),,"Jessica Fong
Lo Yiu Fai
James Yuen"
6586,,,,Alexander Dovzhenko
6587,,Harikishen Goswami Pran Waheeda Rehman,,Gulshan Nanda
6588,,Robert Stephens Vanessa Redgrave Bernard Bresslaw Irene Handl David Warner (actor),,David Mercer
6589,,Nora Louise Kuzma Kyoko Teranishi,,Steven Cartier
6590,,"John Joseph Nicholson Christopher Anton Knight Frank John Gorshin, Jr.",,Philip Yordan
6591,,Ewan McGregor Joshua Daniel Hartnett Sam Shepard Tom Sizemore Ioan Gruffudd Orlando Jonathan Blanchard Bloom Edward Thomas Hardy William Edward Fichtner Eric Banadinovich,Black Hawk Down,Ken Nolan Mark Bowden
6592,,Farley Earle Granger II Kevin O'Shea Trudy Marshall Don 'Red' Barry Carver Dana Andrews Richard Conte,,Jerome Cady Darryl Francis Zanuck
6593,,Clarence J. Brown III Jennifer Beals Sting Anthony Higgins (actor),The Bride,Lloyd Fonvielle Frankenstein Mary Shelley
6594,,"Ned Thomas Beatty Jonathan Vincent Voight Daniel Ronald Cox James Dickey Burton Leon Reynolds, Jr.",,James Dickey
6595,,Daryl Christine Hannah Cliff De Young Lois Smith Aidan Quinn Adam Baldwin,Reckless,Chris Columbus
6596,,Bhavana (actress) Srikanth,,
6597,,Martin Savage (actor) Julia Davis,,Robert Popper
6598,,Kyle MacLachlan Stellan Skarsgård Salma Hayek Jimu00E9nez,Timecode,Michael Figgis
6599,,Gayne Whitman Gertrude Astor Kenneth Harlan Edna Murphy,Serial (film) Universal Pictures,Basil Dickey George Morgan (screenwriter) Ella O'Neill (screenwriter) George H. Plympton Arthur B. Reeve
6600,,Roscoe Arbuckle Mabel Normand,Mabel and Fatty's Simple Life,
6601,,Emma Penella Nino Manfredi José Luis López Vázquez Pepe Isbert,El verdugo,Rafael Azcona
6602,,Timothy Simon Smith Christopher Shannon Penn Renu00E9e Kathleen Zellweger Edna Rae Gillooly,,Josh Pate Jonas Pate
6603,,Todd Jones Thomas John Guiry Michael Anthony Vitar,The Sandlot,David M. Evans Robert Gunter (screenwriter)
6604,,Luis Luque,Tiempo de Valientes,"Damiu00E1n Szifru00F3n
Contributing Writers:
Agustu00EDn Rolandelli
Nicolu00E1s Smudt"
6605,,Amitabh Bachchan Zeenat Aman Shatrughan Sinha,,Salim Khan Javed Akhtar
6606,,Alicia Christian Foster Gerard James Butler Abigail Kathleen Breslin,,"Joseph Kwong
Paula Mazur
Jennifer Flackett
Mark Levin
Wendy Orr (novel)"
6607,,James Farentino Guy Stockwell Richard Boone Maurice Evans John Charles Carter Rosemary Forsyth Niall MacGinnis,The War  Lord,John Collier Leslie Stevens Millard Kaufman
6608,,Reginald Carey Harrison Jeanne Moreau,The Yellow Rolls Royce,Terence Rattigan
6609,,James Neville Mason Dominique Marie-Franu00E7oise Renu00E9e Varaigne Paul Leonard Newman,The Mackintosh Man,Desmond Bagley William Fairchild Walter Hill
6610,,Lloyd Hamilton,Peaceful Oscar,
6611,,Leonard Frey Molly Picon Norma Crane Chaim Topol,Fiddler on the Roof,Joseph Stein
6612,,Will Ryan Zack Shada Corey Burton Linda Larkin Russi Taylor Tress MacNeille Jeffrey Glenn Bennett Ken Sansom Erin Torpey Tara Lynn Charendoff Franklin W. Welker,,
6613,,Chris Cooper (actor) Maria Elana Bello Richard Stephen Dreyfuss Danny Huston,Silver City,John Sayles
6614,,Henry Brazeale Walthall Marion Leonard Frank Powell Arthur V. Johnson,,Stanner E. V. Taylor
6615,,Elvia Allman Joe Dougherty Bernice Hansen Billy Bletcher,,
6616,,Katya Gorina Oksana Akinshina Roman Ageyev,,Sergei Bodrov Jr.
6617,,Eugene Levy Arthur Christopher Orme Plummer Sean Patrick Duke Miranda de Pencier Howie Michael Mandel II,,"Kurt Vonnegut, Jr."
6618,,<http://www.gloriamarin.net>,,Fu00E9lix B. Caignet (adapted by Ramu00F3n Pu00E9rez Pelu00E1ez and Jesu00FAs Galindo
6619,,Roberto Escalada,,Luis Moglia Barth
6620,,Richard Karlan James Seay Anthony Dexter Eva Gabor Alan Hale Jr.,Captain Kidd and the Slave Girl,Jack Pollexfen Aubrey Wisberg
6621,,Miles Halliwell,Winstanley,David Caute
6622,,Danny Denzongpa Shabana Azmi Balbir Raj Kapoor,,
6623,,Anthony Perkins Julia Ann Harris,,Henry Farrell
6624,,Blythe Katharine Danner Robert John Wagner Joseph Alberic Fiennes Carrie-Anne Moss,,Ryan Murphy Brad Falchuk
6625,,Mervyn Johns Petula Clark,,Muriel Box Sydney Box
6626,,Maurice Auguste Chevalier Charles Boyer Horst Werner Buchholz Leslie Claire Margaret Caron,Fanny,Joshua Logan Harold Rome Julius J. Epstein S.N. Behrman Marcel Pagnol
6627,,Carl Raddatz Joachim Brennecke Ilse Werner,,Eduard von Borsody Richard Lützkendorf
6628,,James Stewart (actor) Alexandria Cymboliak Zuck,"Take Her, She's Mine",Henry Ephron Phoebe Ephron Nunnally Hunter Johnson
6629,,Jean Merilyn Simmons Peggy Knudsen Evelyn Varden Jean-Pierre Aumont Guy Madison,Hilda Crane,Philip Dunne (writer) Samson Raphaelson
6630,,,A Place to Call Home,I. Fang Yeh
6631,,Jesse White Joseph Frank Keaton VI Harvey Lembeck Jody McCrea Annette Joanne Funicello Elsa Lanchester Thomas Lee Kirk,Pajama Party,Louis M. Heyward
6632,,John Getz Dan Hedaya Michael Emmet Walsh Frances Louise McDormand,Blood Simple List of Sundance Film Festival award winners,"Joel Coen
Ethan Coen"
6633,,Raj Kiran Kader Khan Madhavi Shoma Anand Gouranga Chakraborty Aruna Irani,,
6634,,Nancy Shubert Yakima Canutt Marion Robert Morrison Lane Chandler,Sagebrush Trail,"Lindsley Parsons 
 Will Beale"
6635,,Timothy Simon Smith Paul Rhys,Vincent & Theo,Julian Mitchell
6636,,,Redneck Zombies,George Victor Bishop Pericles Lewnes
6637,,Richard Pryor,,
6638,,Dan Hedaya Jesse Bradford Watrouse Erika Jane Christensen Shiri Freda Appleby Clayne Crawford Jason Morgan Ritter,Swimfan,"Charles F. Bohl
 Phillip Schneider"
6639,,Gene Marsh Charles Chaplin Fritz Schade Mack Swain Cecile Arnold Al St. John,His Prehistoric Past,Charlie Chaplin
6640,,Lee Kang-sheng Lu Yi-Ching Jen Chang-bin Chen Chao-jung,Ch'ing shaonien na cha,Tsai Ming-liang
6641,,Mary-Kate Olsen Ashley Fuller Olsen,"Double, Double, Toil and Trouble",
6642,,Deborah Mazar Benicio Monserrate Rafael del Toro Su00E1nchez Michael Madsen John Paul Cusack,Money for Nothing,Mark Bowden Ramón Menéndez
6643,,Heinrich Von Kleinbach Gloria Franklin Olaf Hytten William Royle Robert Kellard Luana Walters Tom Chatterton,,Barney A Sarecky Ronald Davidson Morgan B. Cox Franklin Adreon Norman S. Hall Sol Shor Sax Rohmer
6644,,Mimi Rose Sheeri Rappaport,Little Witches,Dino Vindeni Brian DiMuccio
6645,,Robert Emmett O'Connor Hobart Bosworth Helen Chandler Rochelle Hudson Edna May Nutter Florence Roberts Harry Stubbs John Darrow,,Juliet Wilbur Tompkins Carey Wilson (writer) Bernard Schubert
6646,,"Freddie Jones Clinton Eastwood, Jr.",Firefox,Alex Lasker Wendell Wellman
6647,,Wong Yue Gordon Liu,Lan tou He,Ni Kuang
6648,,Polly Moran Conrad Nagel Henry Brazeale Walthall Leonidas Frank Chaney Marceline Newlin,,"Waldemar Young Joseph Farnham Charles Albert Browning, Jr"
6649,,Don Walker Ian Moss Guitar Drums Steve Prestwich Piano Electronic organ Jimmy Barnes Phil Small Vocals Bass guitar,,
6650,,Peng Phan,The Burnt Theater,Rithy Panh
6651,,"Lam Truong
Bang Lang",,
6652,,Suvalakshmi Joseph Vijay Chandrasekhar,,
6653,,Sarah Blanche Sweet,The Painted Lady,D. W. Griffith
6654,,Ethel Grandin Francis Ford (actor),The Deserter,Thomas H. Ince
6655,,Yusaku Matsuda Katsuo Nakamura Eriko Kusuda Michiyo Okusu,Kagero-za,Kyoka Izumi
6656,,Robert Young Thomas Mitchell John Charles Carter Nicole Maurey,,Ranald MacDougall Sydney Boehm Boehm Maximum
6657,,"Maheshwari
Rajshri Nair
Periyadhasan
Raja
Sunderarajan",Karuththamma,Bharathiraja
6658,,,Street of Crocodiles,
6659,,,,Péter Nádas
6660,,Roscoe Arbuckle,The Foreman of the Jury,
6661,,,,Jean-Pierre Andrevon
6662,,Patricia Davies Clarkson Rena Sofer Angela Bettis Kandyse McClure,Carrie (2002 TV movie),Bryan Fuller Stephen King
6663,,Walter Elias Disney,South of the Border with Disney,
6664,,Roscoe Arbuckle,Camping Out,Roscoe Arbuckle
6665,,Stark Bunker Sands Philip Baker Hall Frances Conroy Jason Bradford Prestley,"Die, Mommie, Die!",Charles Busch
6666,,Justine Kay McCarthy Derek Jules Gaspard Ulric Niven van den Bogarde Donald Sinden James Norval Harald Justice Kenneth More Donald Houston,Doctor in the House,Nicholas Phipps Ronald Wilkinson Richard Gordon (author)
6667,,Minami Takayama K?ichi Yamadera Yoshiko Sakakibara u4E95u4E0A u548Cu5F66 (Inoue Kazuhiko) Naoko Matsui Wakana Yamazaki Akira Kamiya Ikue Ohtani Megumi Hayashibara Kappei Yamaguchi Atsuko Yuya Hirotaka Shimasawa Yukiko Iwai Wataru Takagi Kenichi Ogata K?ji Nakata (voice actor),,Kazunari Kochi
6668,,Lee Meredith Christopher Hewett Kenneth Mars Samuel Joel Mostel Jerome Silberman,The Producers,Melvin Kaminsky
6669,,"William December Williams, Jr. Mark Richard Hamill Carrie Frances Fisher Harrison Ford",,Lawrence Kasdan George Walton Lucas Jr.
6670,,Hoot Gibson,Play Straight or Fight,Leon De La Mothe Karl R. Coolidge
6671,,Oliver Hardy Arthur Stanley Jefferson,,H.M. Walker
6672,Einar Egeland,Espen Skjønberg,Krigerens Hjerte,Leidulv Risan Arthur Johansen
6673,,Jen Hsian-Chih Blacky Ko Ruby Lin,,
6674,,James Howard Woods Dolly Parton Michael Madsen Griffin Dunne Deirdre O'Connell,Straight Talk,Craig Bolotin
6675,,,Blue Skies,Irving Berlin Allan G. Scott Arthur Sheekman
6676,,Gale Page William Claude Rains Lane Sisters Jacob Julius Garfinkle,Four Daughters,Lenore J. Coffee Fannie Hurst Julius J. Epstein
6677,,Ruby Ann Wallace Dominick DeLuise Jeffrey McGee Kyle Howard Joey Schrader Alexander Pease Kim Victoria Cattrall Christopher Allen Lloyd Peter MacNicol Mary Kathleen Turner,Baby Geniuses,Francisca Matos Steven Paul Robert Grasmere
6678,,Laila Boonyasak Krit Sripoomseth,Rahtree: Flower of the Night Buppah Rahtree,Yuthlert Sippapak
6679,,Spencer Bonaventure Tracy Frank Sinatra,The Devil at 4 O'Clock,Liam Christopher O'Brien Max Catto
6680,,Freddie Mercury Roger Meddows-Taylor John Deacon Brian May,,
6681,,David Lochary Maelcum Soul Glen Milstead,,John Waters
6682,,Rah Digga Wyclef Jean Mos Def Mekkhi Thira Phifer Beyonce Knowles,,Michael Elliot
6683,,Melanie Richards Griffith Meat Loaf Cathy Moriarty David Morse Lucas York Black,Crazy in Alabama,Mark Childress
6684,,Gouranga Chakraborty Neena Gupta,,Apurba Kishore Bir
6685,,"Graham Chapman
John Cleese
Terry Gilliam
Eric Idle
Terry Jones
Michael Palin",Monty Python's Life of Brian,Terence Vance Gilliam Graham Arthur Chapman Eric Idle Michael Palin Terry Jones John Marwood Cleese
6686,,,,Louise Hogarth
6687,,Evelyn Louise Keyes Farley Earle Granger II James David Graham Niven Muriel Teresa Wright,Enchantment,John Patrick Rumer Godden
6688,,Adnan Sami Khan Zeba Bakhtiar Nadeem Shafqat Cheema,,Syed Noor
6689,,Ilene Graff Jonathan Gregory Brandis Jackée Harry Rodney Dangerfield Vinessa Shaw,,Curtis Burch
6690,,Gala Videnovi?,,Jovan Acin
6691,,Joan Greenwood James Lablache Stewart,,Alexander Mackendrick John Dighton
6692,,Penu00E9lope Cruz Su00E1nchez Javier u00C1ngel Encinas Bardem,"Jamu00F3n, jamu00F3n",Dialogue Bigas Luna Quim Monzó
6693,,Giorgio Cantarini Giustino Durano Roberto Remigio Benigni Nicoletta Braschi,Life Is Beautiful,Vincenzo Cerami Roberto Remigio Benigni
6694,,Claude Jade Bernard Fresson Jean Rochefort Annie Girardot,,Catherine Paysan Serge Korber
6695,,Om Prakash Nutan Samarth Balraj Dutt,,
6696,,Phillips Holmes Walter Houghston,,"Fred Niblo, Jr. Seton I. Miller Martin Flavin"
6697,,Wendell Reid Corey Ann Richards (actress) Ruby Catherine Stevens Burton Stephen Lancaster,,Lucille Fletcher
6698,,Kelly Ann McGillis Thomas Conti,,Peter De Vries Herman Shumlin
6699,,Joseph Cheshire Cotten Alida Maria Laura von Altenburger Wilfrid Hyde-White Bernard Lee George Orson Welles Trevor Howard,BAFTA Award for Best British Film Anton Karas - Third Man Theme excerpt,Graham Greene (writer)
6700,,Edouard Dermithe Nicole Stéphane,Les enfants terribles,Jean Cocteau
6701,,Jo Seung-woo Kang Hye-jeong,Love Phobia,Hwang In-ho
6702,,Jamal Udin Torabi Enayatullah,In This World,Tony Grisoni
6703,,Kwan Tak Hing Hung Kam-Bo Xiu00E0 Lu00ECng-Zhu00E8ng Lee Hoi-Sang Wei Pai,,Dang Geng-san Wong Jing
6704,,Sergei Koshonin Andrei Petrov Irina Sokolova Viktoriya Yurizditskaya Ilya Rivin Evgeniy Mishenko,,Alexander Sokurov
6705,,,,Shama Zaidi
6706,,Ignacio Lu00F3pez Lu00F3pez. Josefina Yolanda Pellicer Lu00F3pez de Llergo,Macario,Roberto Gavaldón B. Traven
6707,,Gary Eck Akmal Saleh Anthony Mir,You Can't Stop the Murders,Anthony Mir
6708,,Gra?yna Szapo?owska Olaf Lubaszenko,A Short Film About Love,Krzysztof Piesiewicz Krzysztof Kie?lowski
6709,,Helene Rosson Forrest Taylor Harry von Meter,,Kenneth B. Clarke
6710,,Michael Scudamore Redgrave Lewis Ernest Watts Mills Margaret Natalie Smith Susannah Yolande Fletcher Arthur John Gielgud Laurence Kerr Olivier,Oh! What a Lovely War,Len Deighton
6711,,"Runa Takamura
Kumi Taguchi",,
6712,,Carl Ebert Rudolf Blümner Paul Wegener Henrik Galeen Lyda Salmonova,The Golem,Henrik Galeen Paul Wegener
6713,,Eric Stoltz Sybil Temtchine Peter Henry Fonda Ilyena Vasilievna Mironov Julie Deply,The Passion of Ayn Rand,Barbara Branden Howard Korder Mary Gallagher
6714,,Vanessa Redgrave Julia Karin Ormond,Young Catherine,Chris Bryant (writer)
6715,,"Barbara Joan Streisand Ivo Livi, born of Catholic peasants in Italy John Joseph Nicholson Simon Oakland",,Alan Jay Lerner
6716,,Tony Lo Bianco,God Told Me To,Larry Cohen
6717,,Edna Purviance Eric Campbell,,Vincent Bryan Maverick Terrell
6718,,,I Married a Strange Person!,P.C. Vey Bill Plympton
6719,,Neetu Singh Rakhee Rishi Kapoor,,
6720,,Ryu Seung-beom Bae Jung-shik Park Seong-bin,Die Bad,Ryu Seung-wan
6721,,Waldo Bruce Donlevy Jack E. Leonard Phyllis Diller Vera Jayne Palmer,The Fat Spy,Matthew Andrews
6722,,Cecil Parker George Cole Naunton Wayne Derek Jules Gaspard Ulric Niven van den Bogarde Honor Blackman Basil Radford Linden Travers,Quartet,W. Somerset Maugham R.C. Sherriff
6723,,Shahid Kapoor Vidya Balan,,
6724,,Nader Torkaman Hanieh Tavassoli Saeed Ebrahimifar Abdolreza Fakhar,,Niki Karimi
6725,,Allu Arjun Prakash Raj,,Chinni Krishna
6726,,Babar Ali Reema Khan Javed Sheikh Nadeem Neeli,,
6727,,Willie Garson Paulo Costanzo Emily Hampshire Camille Sullivan,A Problem with Fear,Donna Brunsdale Gary Burns
6728,,Sadaho Maeda Tetsuro Tanba Hiroyuki Shimosawa Toshiro Mifune Kinnosuke Yorozuya,,
6729,,,Hong Haier,
6730,,Nandamuri Taraka Rama Rao Rati Agnihotri Kaikala Satyanarayana,Kaliyuga Ramudu,
6731,,Saurabh Shukla Vijay Raaz Saddiya Siddiqui Maria Goretti (actress),,Rajat Kapoor Saurabh Shukla
6732,,Mikey Post,,"Karl Kozak
Don J. Rearden
Kraig Wenman"
6733,,Molly Parker Callum Keith Rennie,Suspicious River,"Laura Kasischke
Lynne Stopkewich"
6734,,Anne Suzuki Takeshi Kaneshiro,Returner,Kenya Hirata
6735,,Lars Mauritz Hanson Greta Lovisa Gustafsson John Cecil Pringle Barbara Klowtmann,,Benjamin Glazer Hermann Sudermann Marian Ainslee
6736,,Patrice Wymore Frank Lovejoy Danny Thomas James Gleason Doris Day,,Jack Rose Melville Shavelson Grace Kahn Louis F. Edelman
6737,,Javier Alberto Lopez Rick Gonzalez Gil Bellows Regina Marie Fischer Sean William Scott Masayori Oka Lili Taylor Chris Conrad Adrian Martinez John C. Reilly Fred Armisen,Quebec,Steve Conrad
6738,,,The River,Pare Lorentz
6739,,"J.J. Johnston Gwynne Gilford Gerrit Graham Richard Stahl Robert Walker, Jr. Godfrey Cambridge Marlene Clark Danny Goldman Richard Webb",,Jack H. Harris Richard Clair Jack Woods Anthony Harris
6740,,Peggie Castle Evelyn Louise Keyes John Payne (actor) Brad Dexter Frank Faylen,,John Payne (actor) Phil Karlson
6741,,Robert Benchley,,Robert Benchley
6742,,Frederick Reginald Ironside,Hello Mary Lou: Prom Night II,Ron Oliver
6743,,Robert Anson Jordan Raul Julia Ana Alicia Ortiz Tony Plana Harold V. Goldstein,,John Sacret Young
6744,,Gabrielle Carteris Steve Bacic,,Mark Sanderson
6745,,Claude Jade Jacques Simonet,,
6746,,Aline Laveen MacMahon Francis Phillip Wuppermann Lucille Fay LeSueur William Brian de Lacy Aherne,,Joseph Leo Mankiewicz A. Carter Goodloe
6747,,Shania Twain,,
6748,,Ian Bannen Donna Denise Nicholas Bill Cosby Leonard Barrie Corbin Christine Ebersole Holly Guthrie,Ghost Dad,Chris Reese S.S. Wilson Brent Maddock
6749,,LL Cool J Vivica Anjanetta Fox Jada Koren Pinkett,Kingdom Come,"David Bottrell
Jessie Jones"
6750,,Caroline Berry Sean Carlsen,,
6751,,Karishma Kapoor Salman Khan Mukesh Rishi Rambha,,
6752,,David Manners Otis Skinner Sidney Blackmer Gretchen Young,,Howard Estabrook Edward Knoblock
6753,,Arjun (actor) Veeramachaneni Jagapathi Chowdhury Suhasini Rajaram Naidu Laya,,M. Raja Rafi-Mercatrin
6754,,Ruth Elizabeth Davis Frances Marion Dee Leslie Howard Steiner,,W. Somerset Maugham Lester Cohen
6755,,Gloria Hallward Sterling Relyea Walter,,"Gladys Atwater (story)
J. Robert Bren (story)
Lawrence Roman"
6756,,Roscoe Arbuckle,A Rural Demon,
6757,,Stephen Glenn Martin William John Neeson Lolita Davidovich Mary Debra Winger,Leap of Faith,Janus Cercone
6758,,Edward Norton Evan Rachel Wood David Morse Rory Culkin,Down in the Valley,David Jacobson
6759,,Edward Hermann Steven Nelson Feuerstein Lorenzo y de Santos Lamas Maureen Denise McCormick Maxx Payne,Take Down,Kieth Merrill
6760,,Jimi Mistry Kyle MacLachlan Kristen Holden-Ried Suleka Mathew,,Ian Iqbal Rashid
6761,,"Louis Burton (Bert) Lindley, Jr. Thomas Mark Harmon Michael Caine Shirley Mae Jones Aristotelis Savalas Sally Margaret Field John H. Lebzelter Peter Lawrence Boyle Mladen George Sekulovich",Beyond the Poseidon Adventure,Paul Gallico Nelson Gidding
6762,,Wulan Guritno Lukman Sardi Deddy Mizwar Tora Sudiro Darius Sinathrya Michael Mulyadro Uli Herdinansyah,,Musfar Yasin
6763,,William Davis Garwood Jr. Harry von Meter Vivian Rich,,
6764,,George Campbell Scott Catherine Jones Peter Gallagher Timothy James Curry Mary Lucy Denise Pudlowski,Titanic (TV miniseries),"Ross LaManna
Joyce Eliason"
6765,,Marshall Scot Allman Ryan Sheckler Haylie Katherine Duff Luke Perry,Dishdogz,Steven Sessions
6766,,"Patrick Hewes Stewart''People of Today'':  Debrett, London, 2007 Glenda May Jackson Peter Eyre",,Henrik Ibsen
6767,,Carlos Ray Norris,Top Dog,"Aaron Norris (story)
Tim Grayem (story)
Ron Swanson"
6768,,"Penelope Ann Miller Robin McLaurim Williams John Heard Julie Deborah Kavner Robert Mario De Niro, Jr. Max Von Sydow",Awakenings,Oliver Sacks Steven Zaillian
6769,,Tania Saulnier Gregg Henry Don Thompson Regina Marie Fischer Michael Rooker Nathan C. Fillion Elizabeth Maresal Mitchell,Slither,James Gunn (film maker)
6770,,Ralph Maraj Anand Maharaj,Bim,Raoul Pantin
6771,,Lee Martin,,
6772,,Gary Cole Shelley Lee Long,A Very Brady Sequel,
6773,,Osvald Helmuth Gunnar Lauring Ebbe Rode,Harry and the Butler,Leif Panduro
6774,,Casey Kasem Mindy Cohn Erin Grey Van Oosbree Franklin W. Welker,,George Doty IV Ed Scharlach Mark Turosz
6775,,Jess Dandy Charles Chaplin Al St. John John T. Dillon (actor),The New Janitor,
6776,,Hildegarde Watson Herbert Stern,,Edgar Allan Poe
6777,,u9673u6E2Fu751F (Chan Kong Sang) Philip Chan Guy Lai Maggie Cheung Alfred Cheung,Twin Dragons,Wong Yik Barry Wong Tsui Hark Joe Cheung
6778,,Esteban Ernesto Echevarria Pamela Denise Anderson Kimberly A. Botfield,,Terri Treas Gene Church
6779,,Ricardo Montalban Charles Van Johnson George Murphy John Hodiak,Battleground,Robert Pirosh
6780,,Helen (actress) Manisha B. Koirala Sanjay Kapoor Tejasvini Kolhapure,,
6781,,J. Warren Kerrigan Lois Wilson (actress),,
6782,,Steve Cochran Joan Lucille Olander,The Beat Generation,Lewis Meltzer Richard Matheson
6783,,Ilyena Vasilievna Mironov Olivier Martinez Anna Maria Louisa Italiano Brian Manion Dennehy,,Tennessee Williams Martin Sherman
6784,,Julie Frances Christie Gerrit Graham Robert Francis Vaughn Fritz Weaver,Demon Seed,Robert Jaffe Dean Koontz Roger Hirson
