id,actors,title
6657,"Maheshwari
Rajshri Nair
Periyadhasan
Raja
Sunderarajan",Karuththamma
6658,,Street of Crocodiles
6659,,
6660,Roscoe Arbuckle,The Foreman of the Jury
6661,,
6662,Patricia Davies Clarkson Rena Sofer Angela Bettis Kandyse McClure,Carrie (2002 TV movie)
6663,Walter Elias Disney,South of the Border with Disney
6664,Roscoe Arbuckle,Camping Out
6665,Stark Bunker Sands Philip Baker Hall Frances Conroy Jason Bradford Prestley,"Die, Mommie, Die!"
6666,Justine Kay McCarthy Derek Jules Gaspard Ulric Niven van den Bogarde Donald Sinden James Norval Harald Justice Kenneth More Donald Houston,Doctor in the House
6667,Minami Takayama K?ichi Yamadera Yoshiko Sakakibara u4E95u4E0A u548Cu5F66 (Inoue Kazuhiko) Naoko Matsui Wakana Yamazaki Akira Kamiya Ikue Ohtani Megumi Hayashibara Kappei Yamaguchi Atsuko Yuya Hirotaka Shimasawa Yukiko Iwai Wataru Takagi Kenichi Ogata K?ji Nakata (voice actor),
6668,Lee Meredith Christopher Hewett Kenneth Mars Samuel Joel Mostel Jerome Silberman,The Producers
6669,"William December Williams, Jr. Mark Richard Hamill Carrie Frances Fisher Harrison Ford",
6670,Hoot Gibson,Play Straight or Fight
6671,Oliver Hardy Arthur Stanley Jefferson,
6672,Espen Skjønberg,Krigerens Hjerte
6673,Jen Hsian-Chih Blacky Ko Ruby Lin,
6674,James Howard Woods Dolly Parton Michael Madsen Griffin Dunne Deirdre O'Connell,Straight Talk
6675,,Blue Skies
6676,Gale Page William Claude Rains Lane Sisters Jacob Julius Garfinkle,Four Daughters
6677,Ruby Ann Wallace Dominick DeLuise Jeffrey McGee Kyle Howard Joey Schrader Alexander Pease Kim Victoria Cattrall Christopher Allen Lloyd Peter MacNicol Mary Kathleen Turner,Baby Geniuses
6678,Laila Boonyasak Krit Sripoomseth,Rahtree: Flower of the Night Buppah Rahtree
6679,Spencer Bonaventure Tracy Frank Sinatra,The Devil at 4 O'Clock
6680,Freddie Mercury Roger Meddows-Taylor John Deacon Brian May,
6681,David Lochary Maelcum Soul Glen Milstead,
6682,Rah Digga Wyclef Jean Mos Def Mekkhi Thira Phifer Beyonce Knowles,
6683,Melanie Richards Griffith Meat Loaf Cathy Moriarty David Morse Lucas York Black,Crazy in Alabama
6684,Gouranga Chakraborty Neena Gupta,
6685,"Graham Chapman
John Cleese
Terry Gilliam
Eric Idle
Terry Jones
Michael Palin",Monty Python's Life of Brian
6686,,
6687,Evelyn Louise Keyes Farley Earle Granger II James David Graham Niven Muriel Teresa Wright,Enchantment
6688,Adnan Sami Khan Zeba Bakhtiar Nadeem Shafqat Cheema,
6689,Ilene Graff Jonathan Gregory Brandis Jackée Harry Rodney Dangerfield Vinessa Shaw,
6690,Gala Videnovi?,
6691,Joan Greenwood James Lablache Stewart,
6692,Penu00E9lope Cruz Su00E1nchez Javier u00C1ngel Encinas Bardem,"Jamu00F3n, jamu00F3n"
6693,Giorgio Cantarini Giustino Durano Roberto Remigio Benigni Nicoletta Braschi,Life Is Beautiful
6694,Claude Jade Bernard Fresson Jean Rochefort Annie Girardot,
6695,Om Prakash Nutan Samarth Balraj Dutt,
6696,Phillips Holmes Walter Houghston,
6697,Wendell Reid Corey Ann Richards (actress) Ruby Catherine Stevens Burton Stephen Lancaster,
6698,Kelly Ann McGillis Thomas Conti,
6699,Joseph Cheshire Cotten Alida Maria Laura von Altenburger Wilfrid Hyde-White Bernard Lee George Orson Welles Trevor Howard,BAFTA Award for Best British Film Anton Karas - Third Man Theme excerpt
6700,Edouard Dermithe Nicole Stéphane,Les enfants terribles
6701,Jo Seung-woo Kang Hye-jeong,Love Phobia
6702,Jamal Udin Torabi Enayatullah,In This World
6703,Kwan Tak Hing Hung Kam-Bo Xiu00E0 Lu00ECng-Zhu00E8ng Lee Hoi-Sang Wei Pai,
6704,Sergei Koshonin Andrei Petrov Irina Sokolova Viktoriya Yurizditskaya Ilya Rivin Evgeniy Mishenko,
6705,,
6706,Ignacio Lu00F3pez Lu00F3pez. Josefina Yolanda Pellicer Lu00F3pez de Llergo,Macario
6707,Gary Eck Akmal Saleh Anthony Mir,You Can't Stop the Murders
6708,Gra?yna Szapo?owska Olaf Lubaszenko,A Short Film About Love
6709,Helene Rosson Forrest Taylor Harry von Meter,
6710,Michael Scudamore Redgrave Lewis Ernest Watts Mills Margaret Natalie Smith Susannah Yolande Fletcher Arthur John Gielgud Laurence Kerr Olivier,Oh! What a Lovely War
6711,"Runa Takamura
Kumi Taguchi",
6712,Carl Ebert Rudolf Blümner Paul Wegener Henrik Galeen Lyda Salmonova,The Golem
6713,Eric Stoltz Sybil Temtchine Peter Henry Fonda Ilyena Vasilievna Mironov Julie Deply,The Passion of Ayn Rand
6714,Vanessa Redgrave Julia Karin Ormond,Young Catherine
6715,"Barbara Joan Streisand Ivo Livi, born of Catholic peasants in Italy John Joseph Nicholson Simon Oakland",
6716,Tony Lo Bianco,God Told Me To
6717,Edna Purviance Eric Campbell,
6718,,I Married a Strange Person!
6719,Neetu Singh Rakhee Rishi Kapoor,
6720,Ryu Seung-beom Bae Jung-shik Park Seong-bin,Die Bad
6721,Waldo Bruce Donlevy Jack E. Leonard Phyllis Diller Vera Jayne Palmer,The Fat Spy
6722,Cecil Parker George Cole Naunton Wayne Derek Jules Gaspard Ulric Niven van den Bogarde Honor Blackman Basil Radford Linden Travers,Quartet
6723,Shahid Kapoor Vidya Balan,
6724,Nader Torkaman Hanieh Tavassoli Saeed Ebrahimifar Abdolreza Fakhar,
6725,Allu Arjun Prakash Raj,
6726,Babar Ali Reema Khan Javed Sheikh Nadeem Neeli,
6727,Willie Garson Paulo Costanzo Emily Hampshire Camille Sullivan,A Problem with Fear
6728,Sadaho Maeda Tetsuro Tanba Hiroyuki Shimosawa Toshiro Mifune Kinnosuke Yorozuya,
6729,,Hong Haier
6730,Nandamuri Taraka Rama Rao Rati Agnihotri Kaikala Satyanarayana,Kaliyuga Ramudu
6731,Saurabh Shukla Vijay Raaz Saddiya Siddiqui Maria Goretti (actress),
6732,Mikey Post,
6733,Molly Parker Callum Keith Rennie,Suspicious River
6734,Anne Suzuki Takeshi Kaneshiro,Returner
6735,Lars Mauritz Hanson Greta Lovisa Gustafsson John Cecil Pringle Barbara Klowtmann,
6736,Patrice Wymore Frank Lovejoy Danny Thomas James Gleason Doris Day,
6737,Javier Alberto Lopez Rick Gonzalez Gil Bellows Regina Marie Fischer Sean William Scott Masayori Oka Lili Taylor Chris Conrad Adrian Martinez John C. Reilly Fred Armisen,Quebec
6738,,The River
6739,"J.J. Johnston Gwynne Gilford Gerrit Graham Richard Stahl Robert Walker, Jr. Godfrey Cambridge Marlene Clark Danny Goldman Richard Webb",
6740,Peggie Castle Evelyn Louise Keyes John Payne (actor) Brad Dexter Frank Faylen,
6741,Robert Benchley,
6742,Frederick Reginald Ironside,Hello Mary Lou: Prom Night II
6743,Robert Anson Jordan Raul Julia Ana Alicia Ortiz Tony Plana Harold V. Goldstein,
6744,Gabrielle Carteris Steve Bacic,
6745,Claude Jade Jacques Simonet,
6746,Aline Laveen MacMahon Francis Phillip Wuppermann Lucille Fay LeSueur William Brian de Lacy Aherne,
6747,Shania Twain,
6748,Ian Bannen Donna Denise Nicholas Bill Cosby Leonard Barrie Corbin Christine Ebersole Holly Guthrie,Ghost Dad
6749,LL Cool J Vivica Anjanetta Fox Jada Koren Pinkett,Kingdom Come
6750,Caroline Berry Sean Carlsen,
6751,Karishma Kapoor Salman Khan Mukesh Rishi Rambha,
6752,David Manners Otis Skinner Sidney Blackmer Gretchen Young,
6753,Arjun (actor) Veeramachaneni Jagapathi Chowdhury Suhasini Rajaram Naidu Laya,
6754,Ruth Elizabeth Davis Frances Marion Dee Leslie Howard Steiner,
6755,Gloria Hallward Sterling Relyea Walter,
6756,Roscoe Arbuckle,A Rural Demon
6757,Stephen Glenn Martin William John Neeson Lolita Davidovich Mary Debra Winger,Leap of Faith
6758,Edward Norton Evan Rachel Wood David Morse Rory Culkin,Down in the Valley
6759,Edward Hermann Steven Nelson Feuerstein Lorenzo y de Santos Lamas Maureen Denise McCormick Maxx Payne,Take Down
6760,Jimi Mistry Kyle MacLachlan Kristen Holden-Ried Suleka Mathew,
6761,"Louis Burton (Bert) Lindley, Jr. Thomas Mark Harmon Michael Caine Shirley Mae Jones Aristotelis Savalas Sally Margaret Field John H. Lebzelter Peter Lawrence Boyle Mladen George Sekulovich",Beyond the Poseidon Adventure
6762,Wulan Guritno Lukman Sardi Deddy Mizwar Tora Sudiro Darius Sinathrya Michael Mulyadro Uli Herdinansyah,
6763,William Davis Garwood Jr. Harry von Meter Vivian Rich,
6764,George Campbell Scott Catherine Jones Peter Gallagher Timothy James Curry Mary Lucy Denise Pudlowski,Titanic (TV miniseries)
6765,Marshall Scot Allman Ryan Sheckler Haylie Katherine Duff Luke Perry,Dishdogz
6766,"Patrick Hewes Stewart''People of Today'':  Debrett, London, 2007 Glenda May Jackson Peter Eyre",
6767,Carlos Ray Norris,Top Dog
6768,"Penelope Ann Miller Robin McLaurim Williams John Heard Julie Deborah Kavner Robert Mario De Niro, Jr. Max Von Sydow",Awakenings
6769,Tania Saulnier Gregg Henry Don Thompson Regina Marie Fischer Michael Rooker Nathan C. Fillion Elizabeth Maresal Mitchell,Slither
6770,Ralph Maraj Anand Maharaj,Bim
6771,Lee Martin,
6772,Gary Cole Shelley Lee Long,A Very Brady Sequel
6773,Osvald Helmuth Gunnar Lauring Ebbe Rode,Harry and the Butler
6774,Casey Kasem Mindy Cohn Erin Grey Van Oosbree Franklin W. Welker,
6775,Jess Dandy Charles Chaplin Al St. John John T. Dillon (actor),The New Janitor
6776,Hildegarde Watson Herbert Stern,
6777,u9673u6E2Fu751F (Chan Kong Sang) Philip Chan Guy Lai Maggie Cheung Alfred Cheung,Twin Dragons
6778,Esteban Ernesto Echevarria Pamela Denise Anderson Kimberly A. Botfield,
6779,Ricardo Montalban Charles Van Johnson George Murphy John Hodiak,Battleground
6780,Helen (actress) Manisha B. Koirala Sanjay Kapoor Tejasvini Kolhapure,
6781,J. Warren Kerrigan Lois Wilson (actress),
6782,Steve Cochran Joan Lucille Olander,The Beat Generation
6783,Ilyena Vasilievna Mironov Olivier Martinez Anna Maria Louisa Italiano Brian Manion Dennehy,
6784,Julie Frances Christie Gerrit Graham Robert Francis Vaughn Fritz Weaver,Demon Seed
6785,Eugenie Besserer George Bancroft (actor) Richard Arlen William Phillips Vina Fay Wray,
6786,Ben Oxenbould Jeremy Larsson Martin Lewis (actor) Rebecca Rigg,
6787,Clarence Kolb,
6788,Pierre-Richard Maurice Charles Lu00E9opold Defays Anny Duperey Gu00E9rard Xavier Marcel Depardieu,
6789,Jean-Claude Camille Franu00E7ois Van Varenberg Kieran Culkin Rosanna Lauren Arquette,Nowhere to Run
6790,"Pijaya Vachajitpan
Donlaya Mudcha",The Tin Mine
6791,Frederic Enrico Rossovich Elliott Goldstein Corbin Bernsen Courtney Taylor Paul Anthony Sorvino Stephen Nichols,
6792,James Harrison Coburn Jr. Virginia Madsen Millicent Fogel Alexandra Holden,American Gun
6793,Michael Callan Edward Charles Morrice Fox Wendy Margaret Hiller Daniel Massey (actor) Beatrix Lehmann Wilfrid Hyde White Honor Blackman Peter McEnery Olivia Hussey Carol Lynley,
6794,Freddie Mercury Roger Meddows-Taylor John Deacon Brian May,
6795,Sandra Oh Sarah Polley David Paul Cronenberg Don McKellar Callum Keith Rennie,Last Night
6796,Colin James Farrell Alfredo James Pacino,Box office number-one movies of 2003 (USA) The Recruit
6797,#Cast,
6798,Ronald Francis Perlman Sophia Myles James Patrick Caviezel John Vincent Hurt,Outlander
6799,Amjad Khan Zeenat Aman Raakhee Gulzar Amitabh Bachchan,
6800,Betty Joan Perske Eldred Gregory Peck Dolores Gray,Designing Woman
6801,Myrna Adele Williams William Horatio Powell,Song of the Thin Man
6802,Harihar Jariwala Ashok Kumar,
6803,Michelle Johnson (actress) Michael Caine Demetria Gene Guynes Joseph Bologna Valerie Harper,Blame it on Rio
6804,Raghav Ranganathan Monika,
6805,Reginald Carey Harrison Monetta Eloyse Darnell Rudy Vallee,Unfaithfully Yours
6806,Margot Louise Hemingway Raf Mauro Pam Huntington Johnny Yune,They Call Me Bruce?
6807,Hrithik Roshan Amisha Patel,
6808,Kurt Vogel Russell,"Now You See Him, Now You Don't"
6809,Richard Pryor,
6810,Hrithik Roshan Rani Mukherjee Kareena Kapoor,Mujhse Dosti Karoge
6811,Roscoe Arbuckle,The Woman Haters
6812,Anthony Perry Nick Cheung Lam Suet Simon Yam Ng Chi-Keung (u5433u5FD7u5F37) Roy Cheung,
6813,Chris Eigeman Jenny McCarthy,
6814,John Vincent Hurt William Hurt,
6815,"James Black
Suzanne Savoy
Marco Perella
James Belcher",
6816,,A Canu00E7u00E3o da Primavera
6817,Geneviève Picot Hugo Wallace Weaving Russell Ira Crowe,Proof
6818,Alexander Martin Clunes Samuel Alexander Joseph West,
6819,Daniel Edward Aykroyd John Franklin Candy Annette Carol Bening,
6820,Frank Hayes (actor) Charles Chaplin Fritz Schade Mack Swain Charley Chase Cecile Arnold,His Musical Career
6821,Shemar Franklin Moore Morris Chestnut Bill Bellamy D.L. Hughley,
6822,Norma Bengell Glória Menezes,Keeper of Promises Palme d'Or
6823,Jamshad Renuka Menon,
6824,Shahrukh Khan Juhi Chawla Aditya Pancholi,
6825,Joan Ann Plowright Glenn Close James Hugh Calum Laurie Joely Kim Richardson Jeff Daniels (actor),101 Dalmatians
6826,Christopher De Leon Visitacion Parado,Kamakalawa
6827,Abhi Bhattarcharya Satindra Bhattacharya Madhabi Mukherjee Rambilas Indrani Chakrabarty Sriman Tarun Bijon Bhattacharya,
6828,Konidela Siva Sankara Vara Prasad Bhanupriya Nagendra Babu Kaikala Satyanarayana Ranganath,
6829,U?ur Yücel Ye?im Salk?m Sermin ?en ?ener ?en,
6830,Liz Renay Edith Massey Nancy Stoll Mary Vivian Pearce,Desperate Living
6831,Allan Gildea Gerard Crossan James Nesbitt,Berlin International Film Festival Bloody Sunday
6832,Toshir? Mifune Takashi Shimura,Stray Dog
6833,Kenneth Charles Branagh Melanie Richards Griffith Charlize Theron Judy Davis Leonardo Wilhelm DiCaprio Winona Laura Horowitz,Celebrity
6834,Frederick Austerlitz Jr. Anthony Perkins Eldred Gregory Peck Ava Lavinia Gardner,
6835,Helena Bonham Carter William Bradley Pitt,Fight Club
6836,Waldo Bruce Donlevy Cornel Wilde Jean Wallace Richard Conte,The Big Combo
6837,John Spaceley,Story of a Junkie
6838,Geraldine McKeown Robert Lang Laurence Kerr Olivier,
6839,Pavel Kadochnikov Sergey Martinson,
6840,William Campbell (film actor),Blood Bath
6841,K?tar? Satomi Katsuya Kobayashi SAYAKA Tomohisa Yuge Sh?ei Asahi Uchida Emi Wakui,
6842,Matthew Dyktynski Matt Day Alice Garner Frances O'Connor Kym Gyngell Radha Mitchell,Love and Other Catastrophes
6843,Aoi Miyazaki Kôji Yakusho Masaru Miyazaki Yoichiro Saito,Eureka
6844,River Jude Bottom Lili Taylor,
6845,Fumihiko Tachiki Mirai Sasaki Mayumi Iizuka Noriko Hidaka Hiroaki Hori,
6846,Eric Deulen John Robinson (American actor) Alex Frost,Elephant Palme d'Or
6847,Matthew Broderick Alexandra Elizabeth Sheedy John Wood (English actor),
6848,Ronald Reagan Ruby Catherine Stevens,
6849,Jelena Ðoki? Andrija Miloševi?,
6850,,u00CAtre aimu00E9 pour soi-mu00EAme
6851,"Cesar Julio Romero, Jr. Elsa Martinelli",Madigan's Millions
6852,Stuart Whitman John H. Lebzelter James Scott Bumgarner,Darby's Rangers
6853,,Battles Without Honor and Humanity 5: Final Episode
6854,Rolfe Sedan Vera Lewis William Bakewell Dorothy Revier Belle Bennett Douglas Elton Thomas Ullman Marguerite De La Motte,The Iron Mask
6855,Toshir? Mifune Takashi Shimura,Shizukanaru ketto
6856,Jean Shirley Verhagen Farley Earle Granger II Ann Steely James Meador,Side Street
6857,J.C. Quinn Ivan Simon Cary Elwes Robert Selden Duvall Thomas Cruise Mapother IV Randall Rudy Quaid Michael Rooker Nicole Mary Kidman,Days of Thunder
6858,"Wallace Fitzgerald Beery Irene Rich John Cooper, Jr.",The Champ
6859,Louise Lasser Lonny Chapman Allen Stewart Ku00F6nigsberg Jackson Beck James Anderson (actor) Janet Margolin Marcel Hillaire,Take the Money and Run
6860,Elisha Cook Jr. Lu00E1szlu00F3 Lu00F6wenstein John McGuire,Stranger on the Third Floor
6861,Harold Lloyd,Stop! Luke! Listen!
6862,Wesley Eure Cameron Mitchell Pamelyn Ferdin,
6863,"Belu00E9n Blanco
Marcela Guerty",
6864,Kamal Haasan,
6865,Christopher Anton Knight Brooke Christa Camille Shields Burle Icle Ivanhoe Ives Ray Bolger Nathan Birnbaum,"Just You and Me, Kid"
6866,Kelly Colleen Lynch Lyndsy Fonseca Jeremy Robert Myron Sumpter,Cyber Seduction: His Secret Life
6867,Oliver Hardy,The Joke's on You
6868,,The Truce
6869,Hideaki Nitani Toru Abe Shinsuke Ashida Kiroshi Kondo Kaku Takashina Michitaro Mizushima Mari Shiraki,Underworld Beauty
6870,Marianne Raigipcien Jean-Baptiste Andrew Lee Potts Anastasia Hille Winfred Jacqueline Fraser-Bisset,
6871,Orly Silbersatz Banai Maya Maron Nitai Gaviratz,Broken Wings
6872,Urvasi Nedumudi Venu Mohanlal Viswanathan Nair Lakshmi (actress),
6873,Michael Welch Amber Heard Aaron Himelstein Anson Adams Mount IV Melissa Price,All the Boys Love Mandy Lane
6874,Dorothy Dalton,Fool's Paradise
6875,Jacques Tati,Play Time
6876,,Baraka
6877,Tarance Edwards Connie Young Wally Joyner Michael Birkeland William Swenson Zak Aldridge Erin Chambers Lincoln Hoppe Kirby Heyborne Daryn Tufts,
6878,Rajnikanth Sripriya Suman,
6879,Yoshiyuki Morishita Jun Murakami Yumi Asou Ayaka Maeda Tetsu Sawaki Kanako Fukaura Ken Mitsuishi,Border Line
6880,Hoot Gibson,The Jay Bird
6881,Kiron Kher Amrish Lal Puri Rajit Kapur Surekha Sikri,Sardari Begum
6882,Vijayashanti Kamal Haasan Jayalalitha,
6883,"Cloris Leachman Harvey Herschel Korman Stephen W. Burns Elyssa Davalos John Vernon Alex Rocco Joaquin Garay, III Charles Martin Smith Richard Jaeckel",Herbie Goes Bananas
6884,Lidia Liss Álvaro Escobar Elena Guido,La Chica de la calle Florida
6885,Oskar Homolka Barbara Bel Geddes Ellen Hansen Irene Marie Dunn,
6886,Phoebe Legere Lisa Gaye,
6887,Salman Khan Rajeev Verma Alok Nath Reema Lagoo Laxmikant Berde Mohnish Behl Ajit Vachani Bhagyashree Pervin Dastur,Filmfare Best Movie Award
6888,Alan Webb Peter McEnery Harry Fleetwood Andrews Beryl Reid,Entertaining Mr Sloane
6889,Isabelle Huppert Benoît Magimel,Grand Prix (Cannes Film Festival) The Piano Teacher
6890,Vera Ann Farmiga Dallas Roberts Jacob Kogan Sam Rockwell Michael McKean Celia Weston,Joshua
6891,The Pennsylvanians Richard Ewing Powell Clarence Ernst Nash,Varsity Show
6892,David Cross Robert Picardo Kirsten Caroline Dunst Jay Mohr Dick Miller Ann Magnuson Philip Edward Hartmann Wendy Schaal Gregory Edward Smith Jacob Smith Kevin Dunn Denis Leary,Small Soldiers
6893,Ricky Nelson John Uhler Lemmon III,
6894,Chayanne Joan Ann Plowright Jane Krajkowski Vanessa L. Williams Kristoffer Kristofferson,Dance With Me
6895,Clayton Rohner,Sometimes They Come Backu2026 for More
6896,Kamal al-Shennawi Faten Ahmed Hamama Ismail Yasseen Ezzel Dine Zulficar,
6897,"u9673u7389u84EE
Chan Yuk-Lin Elvis Tsui Shen Chan Lung Wei Wang Hoi-Shan Kwan Cheng Chong-sai (u912Du5275u4E16) Chia Hui Liu Hoi San Lee",
6898,Tiffany Shepis Charles Richard Moll Blythe Metz,Nightmare Man
6899,Kenny Richards David John Nicole Windsor Jennifer Caroline Lynn Veronica Fairhurst Amanda Elizabeth,
6900,Michel Piccoli Georges Marchal Simone Henriette Charlotte Kaminker Charles Vanel,La mort en ce jardin
6901,Leslie Louise Bibb Dylan Baker Brian Cox Anna Helene Paquin Tahmoh Penikett Rochelle Aytes,Trick 'r Treat
6902,"Simon Callow Sophie Okonedo Tommy Davidson Robert Patrick Gunton, Jr. Ian McNeice James Eugene Carrey",Ace Ventura: When Nature Calls
6903,Betty Loh Tih Ivy Ling,
6904,Amy Marie Yasbeck Todd Waring,"Splash, Too"
6905,"Jeanne Elizabeth Crain Gene Eliza Tierney Vincent Leonard Price, Jr. Cornel Wilde",Leave Her to Heaven
6906,Melvin Wong Xiu00E0 Lu00ECng-Zhu00E8ng Cynthia Rothrock Wu Ma Corey Yuen Roy Chiao,Righting Wrongs
6907,Geoffrey Roy Rush Goldie Jean Studlendgehawn Susan Abigail Tomalin,The Banger Sisters
6908,"Ricky Jay Rodrigo Junqueira dos Reis Timothy Alan Dick Emily Mortimer Joseph Anthony Mantegna, Jr. Alice Braga Rebecca Pidgeon Chiwetel Ejiofor",Redbelt
6909,Gladys Fairbanks Gladys Louise Smith Charles Wellesley(actor) Madlaine Traverse,The Poor Little Rich Girl
6910,Wild Bill Elliott Frank Johnson Dickie Jones Monte Blue Carole Wayne,Serial (film) Columbia Pictures
6911,Roscoe Arbuckle,The Under-Sheriff
6912,"Kong Sophy, Mom Soth, Chorn Torn",The Last Days of Colonel Savath
6913,Arthur Stanley Jefferson Don Dillaway Oliver Hardy,Pack Up Your Troubles
6914,Jonathan K. Favreau Greta Lind Sean Patrick Duke Scott Benjaminson Charles Stanley Dutton Ned Thomas Beatty Mary Ann Thebus,Rudy
6915,Joel Solomon Cohen Kenneth Charles Williams Jim Dale,Carry On Cowboy
6916,Wallace Fitzgerald Beery,The Man From Dakota
6917,Anne Ryan Thomas Amanda Donohoe PG-13 Ivan Simon Cary Elwes Jennifer E. Chan Swoosie Kurtz Maura Lynn Tierney Justin Cooper James Eugene Carrey,Liar Liar
6918,Anjelica Huston Fionnula Flanagan Nigel Davenport John Vincent Hurt Pamela Franklin,
6919,Steffi Duna Mary Elizabeth Riggs Lucille Du00E9siru00E9e Ball,Panama Lady
6920,Arthur Christopher Orme Plummer Sergo Zakariadze Dan O'Herlihy Rodney Stephen Steiger Terence Alexander George Orson Welles John Edward Hawkins Virginia McKenna Yevgeny Samoilov,Waterloo
6921,Jake Fisher Nicholas Torres Tyler Odom Gabe Renfroe,
6922,Alf Kjellin Doris Svedlund Inga Tidblad,Divorced
6923,Ahmad Nisfu Teuku Zakaria Sarimah Ahmad,
6924,Arthur Edmund Carewe Charles Judels Frank Fay Rose Joan Blondell Billy House Louise Brooks John T. Murray Margaret Livingston Tyrell Davis Laura La Plant Charles Winninger Alan Mowbray Yola d'Avril Sisters G,
6925,Catherine Fabienne Dorlu00E9ac Sandrine Bonnaire Oleg Menshikov,
6926,George Ranft Constance Cummings,Night After Night
6927,Jonny Goold Connor Synder Geneve Rupert Leigh G. Miller Chris McGurrin Andy Weiss Bruce Tenenbaum Damon Schoeffler,
6928,Henry DeWitt Carey II,The Canceled Mortgage
6929,Ariel Besse Patrick Dewaere Maurice Ronet,Beau-pu00E8re
6930,Eric Harry Timothy Mabius Devon Ryan Gummersall Frederick Reginald Ironside Derek Richardson,Reeker
6931,Richard St.  John Harris,
6932,Fakher Fakher Faten Ahmed Hamama Youssef Wahbi Abdel Alim Khattab,
6933,Arthur Stanley Jefferson,Smithy
6934,Myron Healey Tsuruko Kobayashi Kôzô Nomura Ayumi Sonoda Fumito Matsuo,
6935,Cicely Tyson Richard Pryor,
6936,Bob Donner Leslie William Nielsen Brian Banowetz,Bad Golf My Way
6937,"John Phillip Law, Cameron Mitchell, Richard Moll, Marc Lawrence",
6938,Jitsuko Yoshimura Koji Takahashi Tetsuro Tanba Mutsuhiro Toura,Samurai Spy
6939,Julie Davis Jeff Cesario Julie Bowen Luetkemeyer Nick Chinlund,
6940,Pierce Brendan Brosnan William John Neeson Anjelica Huston,Seraphim Falls
6941,Gregory Edward Smith Chris Morris,Kids in America
6942,Danny Green (actor) Cecil Parker Jack Warner Herbert Charles Angelo Kuchacevich ze Schluderpacheru Katie Johnson Alec Guiness Richard Henry Sellers,The Ladykillers
6943,Vivian Mary Hartley Flora McKenzie Robson Leslie Banks Laurence Kerr Olivier,
6944,,Terrorister - en film om dom du00F6mda
6945,,
6946,Sela Ann Ward Thomas Jeffrey Hanks Eva Marie Saint Herbert John Gleason,Nothing in Common
6947,Me Me Lai,
6948,Kochakorn Suppakarnkitjakul Rungrawan Tonahongsa Nahatai Lekbumrung Adisorn Insee Panisa Buacharoen,Noo Hin: The Movie
6949,George Segal Denholm Mitchell Elliott Thomas Daniel Courtenay William Fox Patrick O'Neal,King Rat
6950,Eli Wallach Issur Danielovitch Charles Durning Burton Stephen Lancaster Dana Thomas Carvey,Tough Guys
6951,Michelle Nicastro Douglas Sills,
6952,"Owen Moore James Kirkwood, Sr.",The Red Man's View
6953,Heather Deeley Chris Chittell Mary Quilter,
6954,Frederick Austerlitz Jr. Marjorie Reynolds Harry Lillis Crosby,Holiday Inn
6955,Richard Anthony Leming Donald Henry Pleasence Charles Cyphers Nancy Loomis Jamie Lee Curtis,Halloween II
6956,Ali Rajiv Kanakala Narsing Yadav Allari Naresh,
6957,Waweru Njenga Jonathan Niven Cryer Lynn Redgrave JD Cullum Robert Sedgwick,Morgan Stewart's Coming Home
6958,Leslie Townes Hope Lucille Du00E9siru00E9e Ball,
6959,Harry Carey,McVeagh of the South Seas
6960,Andrew McCarthy Terry Kiser Jonathan Silverman,
6961,Duncan Lamont Anna Magnani,The Golden Coach
6962,Jennifer Beals Michael Nouri,
6963,Alicia Roanne Witt Lilliane Rudabet Gloria Elsveta Sobieski Neal McDonough Deborah Kara Unger Amy Frederica Brenneman Benjamin McKenzie Schenkkan Alfredo James Pacino,
6964,"Gol-Ghotai
Zahed",Stray Dogs
6965,Hilary Duff Stephen Glenn Martin Bonnie Lynn Hunt Alyson Rae Stoner Eugene Levy Thomas John Patrick Welling Tara Leigh Patrick,Cheaper by the Dozen 2
6966,"Bob Dylan Louis Burton (Bert) Lindley, Jr. Jason Nelson Robards Jr. James Harrison Coburn Jr. Kristoffer Kristofferson",Pat Garrett and Billy the Kid
6967,Bill Nunn Kimila Ann Basinger Patrick Ryan O'Neal Robert Klein Richard Schiff Elizabeth Tu00E9a Pantaleoni Alfredo James Pacino,People I Know
6968,Sam Hui Karl Maka,Aces Go Places 2
6969,"Brandon Routh
Richard Donner
Ilya Salkind",
6970,Merrill Dodge Tracy Ann Evans Britani Bateman Michael Birkeland Maren Ord William Swenson Kirby Heyborne Daryn Tufts,The R.M.
6971,George Nichols (actor),The Turn in the Road
6972,Angelo Rossitto Warner Richmond Shirley Mills,Child Bride
6973,James Stewart (actor) Laura Augusta Gainor Robert Taylor,Small Town Girl
6974,Claudia Cardinale Pietro Germi,Tre straniere a Roma
6975,George Eastman (actor) Tisa Farrow,The Anthropophagus Beast
6976,Piphat Apiraktanakorn Jaa Panom Yeerum Pumwaree Yodkamol,The Bodyguard
6977,Rachel Weisz Hugh Michael Jackman Edna Rae Gillooly,The Fountain
6978,Aftab Shivdasani Gulshan Grover Ishrat Ali Manisha B. Koirala Divya Dutta Snehal Dabi Chunky Pandey,
6979,David James Arquette Drew Blyth Barrymore James Harvey Kennedy Bryan Ray Trout W. Earl Brown Joseph Whipp Neve Adrianne Campbell Matthew Lillard Isaac Liev Schreiber Rose Arianna McGowan Courteney Bass Cox,Scream
6980,"Dave Irwin
Ellery Moore
Joe Paterno
Danny Studer",
